,ndays,dte,sort,sym,cls,vol,score_vol_sma20,bb_bbhi,bb_bbli,macd,obv,rsi14,cci20,score_ovlp_ema
102,1.0,2021-02-09,0,SPY,390.4,14220975.0,0.22,0.0,0.0,0.76,337241325.0,65.0,149.0,23.0
101,2.0,2021-02-08,0,SPY,390.5,37995200.0,0.58,1.0,0.0,0.58,351462300.0,65.0,171.0,22.0
100,3.0,2021-02-05,0,SPY,387.7,48620300.0,0.73,0.0,0.0,0.21,313467100.0,62.0,159.0,22.0
99,4.0,2021-02-04,0,SPY,386.2,47142600.0,0.69,0.0,0.0,-0.17,264846800.0,61.0,125.0,22.0
98,5.0,2021-02-03,0,SPY,381.9,52427100.0,0.74,0.0,0.0,-0.64,217704200.0,57.0,71.0,25.0
97,6.0,2021-02-02,0,SPY,381.5,64450700.0,0.9,0.0,0.0,-0.93,165277100.0,56.0,41.0,27.0
96,7.0,2021-02-01,0,SPY,376.2,75817600.0,1.03,0.0,0.0,-1.33,100826400.0,51.0,-64.0,3.0
95,8.0,2021-01-29,0,SPY,370.1,126618400.0,1.71,0.0,0.0,-1.37,25008800.0,43.0,-117.0,-6.0
94,9.0,2021-01-28,0,SPY,377.6,94198100.0,1.34,0.0,0.0,-0.74,151627200.0,52.0,11.0,26.0
93,10.0,2021-01-27,0,SPY,374.4,123351100.0,1.81,0.0,0.0,-0.5,57429100.0,48.0,-35.0,31.0
205,1.0,2021-02-09,1,QQQ,333.8,9499260.0,0.32,0.0,0.0,0.67,445598860.0,65.0,125.0,26.0
204,2.0,2021-02-08,1,QQQ,333.6,20388900.0,0.65,0.0,0.0,0.6,436099600.0,65.0,130.0,25.0
203,3.0,2021-02-05,1,QQQ,331.4,22710700.0,0.71,0.0,0.0,0.39,415710700.0,63.0,125.0,26.0
202,4.0,2021-02-04,1,QQQ,330.2,22350900.0,0.69,0.0,0.0,0.19,393000000.0,62.0,112.0,26.0
201,5.0,2021-02-03,1,QQQ,326.4,24824500.0,0.74,0.0,0.0,-0.1,370649100.0,59.0,104.0,27.0
200,6.0,2021-02-02,1,QQQ,327.7,33930800.0,1.0,0.0,0.0,-0.22,395473600.0,61.0,111.0,28.0
199,7.0,2021-02-01,1,QQQ,322.4,35646000.0,1.03,0.0,0.0,-0.59,361542800.0,57.0,38.0,31.0
198,8.0,2021-01-29,1,QQQ,314.6,55164200.0,1.63,0.0,0.0,-0.65,325896800.0,49.0,-19.0,26.0
197,9.0,2021-01-28,1,QQQ,321.3,42836300.0,1.34,0.0,0.0,0.04,381061000.0,57.0,69.0,31.0
196,10.0,2021-01-27,1,QQQ,319.4,55264000.0,1.78,0.0,0.0,0.38,338224700.0,55.0,57.0,30.0
308,1.0,2021-02-09,2,DIA,313.9,850020.0,0.28,0.0,0.0,0.45,46772880.0,62.0,114.0,18.0
307,2.0,2021-02-08,2,DIA,313.9,1678000.0,0.53,0.0,0.0,0.25,47622900.0,62.0,124.0,17.0
306,3.0,2021-02-05,2,DIA,311.5,1955100.0,0.61,0.0,0.0,-0.1,45944900.0,59.0,87.0,17.0
305,4.0,2021-02-04,2,DIA,310.7,2638800.0,0.79,0.0,0.0,-0.43,43989800.0,58.0,36.0,17.0
304,5.0,2021-02-03,2,DIA,307.3,2087800.0,0.59,0.0,0.0,-0.85,41351000.0,53.0,-41.0,2.0
303,6.0,2021-02-02,2,DIA,306.8,3090500.0,0.85,0.0,0.0,-1.13,39263200.0,52.0,-39.0,-13.0
302,7.0,2021-02-01,2,DIA,302.0,3138600.0,0.84,0.0,0.0,-1.44,36172700.0,43.0,-142.0,-49.0
301,8.0,2021-01-29,2,DIA,299.8,5926300.0,1.6,0.0,1.0,-1.37,33034100.0,39.0,-176.0,-39.0
